time_s,output_voltage_V,duty_cycle,inductor_current_A,bound_hit
0.0005,200.65862235357784,0.5419391989707947,12.156962854244554,False
0.001,202.65000864466901,0.4935888350009918,11.083839822678087,False
0.0015,203.67617103350207,0.4798966944217682,8.215997577493923,False
0.002,203.42061347125403,0.4972797930240631,7.038951709018889,False
0.0025,202.90985580147085,0.5146657228469849,7.745033831746875,False
0.003,202.82711279133946,0.5165697932243347,8.71880115983197,False
0.0035,203.08128876010167,0.5072494149208069,8.71575621749621,False
0.004,203.2359901324299,0.5028578639030457,8.210783537599255,False
0.0045000000000000005,203.1809617879207,0.5062945485115051,8.046462333324746,False
0.005,203.1029457436464,0.5094326734542847,8.220959216601546,False
0.0055,203.1087203388344,0.5088088512420654,8.340342441878427,False
0.006,203.14697137005246,0.5072400569915771,8.293184132322212,False
0.006500000000000001,203.15547432295128,0.5070928931236267,8.22510489559144,False
0.007,203.14065915564316,0.5077692270278931,8.227269728842248,False
0.0075,203.13272382325366,0.508026659488678,8.258692706379884,False
0.008,203.1372548187415,0.5077922940254211,8.26647088015658,False
0.0085,203.14214014652876,0.5076100826263428,8.254368973024187,False
0.009000000000000001,203.14145452850667,0.5076655149459839,8.247438558144207,False
0.0095,203.13904564688488,0.5077638626098633,8.250991832409474,False
0.01,203.13868369332073,0.5077663064002991,8.255139800626191,False
0.0105,203.13967820462125,0.5077221989631653,8.254679761440503,False
0.011,203.1401196140762,0.5077087879180908,8.25266434273985,False
0.0115,203.13979083411644,0.507725179195404,8.252318232930921,False
0.012,203.13950007277197,0.5077357292175293,8.253132406354208,False
0.0125,203.1395688387135,0.5077313184738159,8.25352116484366,False
0.013000000000000001,203.13972077518912,0.507725179195404,8.253252078759362,False
0.0135,203.1397308607227,0.5077255964279175,8.25300573811299,False
0.014,203.1396645533657,0.5077283978462219,8.253054061723102,False
0.0145,203.1396388199927,0.5077289938926697,8.253175016997405,False
0.015,203.13965872426027,0.5077279806137085,8.253192638727961,False
0.0155,203.13967538939767,0.5077273845672607,8.253144513265482,False
0.016,203.1396715040297,0.5077276825904846,8.253125406577281,False
0.0165,203.1396635081221,0.5077279806137085,8.253138379392464,False
0.017,203.13966276171922,0.5077279806137085,8.253152436602154,False
0.0175,203.13966710540365,0.507727861404419,8.253153804203162,False
0.018000000000000002,203.1396707276136,0.5077278017997742,8.253148061195846,False
0.0185,203.13967113357967,0.5077278017997742,8.253141818479186,False
0.019,203.13967044076833,0.5077279210090637,8.25314785176111,False
0.0195,203.13967181509045,0.507727861404419,8.253147679429247,False
0.02,203.13967193620724,0.5077278017997742,8.253141201696092,False
0.0205,203.13967086327233,0.5077279210090637,8.253147082731214,False
0.021,203.13967181216404,0.507727861404419,8.253146858389352,False
0.021500000000000002,203.13967151717566,0.5077278017997742,8.253140433335195,False
0.022,203.13966903927601,0.507727861404419,8.253140474128656,False
0.0225,203.13966889097432,0.5077279806137085,8.253153080434377,False
0.023,203.139671996325,0.5077278017997742,8.253146957681205,False
0.0235,203.13967173623394,0.5077278017997742,8.253140482448178,False
0.024,203.13966926485747,0.507727861404419,8.253140467922345,False
0.0245,203.13966909447913,0.5077279806137085,8.25315302085642,False
0.025,203.13967215254084,0.5077278017997742,8.253146853372337,False
0.025500000000000002,203.13967182644586,0.5077278017997742,8.253140347511154,False
0.026000000000000002,203.13966927907256,0.507727861404419,8.253140320027512,False
0.0265,203.1396690325036,0.5077279806137085,8.253152878937092,False
0.027,203.13967202379837,0.5077278017997742,8.253146735209302,False
0.0275,203.13967164858602,0.5077278017997742,8.253140267513434,False
0.028,203.13966907557077,0.507727861404419,8.253140287485307,False
0.0285,203.13966882957632,0.5077279806137085,8.25315289695734,False
0.029,203.13967184703765,0.5077278017997742,8.253146800453893,False
0.029500000000000002,203.13967151974367,0.5077278017997742,8.253140370756036,False
0.03,203.1396690098946,0.507727861404419,8.253140414899434,False
