episode,average_reward,voltage_rmse,average_duty_variation,critic_loss,actor_loss
1,-6.044302006641062,46.439823746084116,0.27674958695820356,13.321062755584716,4.069160223007202
2,-6.48101831836217,48.27384074102566,0.27545166389213865,8.24109956741333,4.34522575378418
3,-15.910731454273282,79.72775058802436,0.0360623332971951,7.391503934860229,7.368232345581054
4,-0.09824548199277014,4.84164463352462,0.06924356591791203,6.524282402992249,7.0245717430114745
5,-0.11779728780162578,5.90661479126064,0.06221453168195285,4.283056943416596,6.083789463043213
6,-0.08852712463776506,4.783805628783619,0.06290032583393973,2.741839394569397,5.581289157867432
7,-0.06977927961199286,3.5427854199456474,0.06876302736031834,2.704099807739258,5.29530366897583
8,-0.06624681454195017,3.1530615101238215,0.07166441927406886,2.2596999657154084,4.650957746505737
9,-0.059530342193414625,2.8368105175701137,0.06803817172672742,1.6493383896350862,4.455820875167847
10,-0.05779862545708124,2.735276252939546,0.06956784313018051,1.2110988074541091,4.1672608757019045
11,-0.0715898938325245,3.7708208170493713,0.06792332516983406,0.8640360721945762,3.8518422412872315
12,-0.06431227925691356,3.5659060116339556,0.0640026387582977,0.8591349312663078,3.9995025634765624
13,-0.07729642796634754,3.9685442264369803,0.06791034388197917,0.8504106169939041,3.7342238903045653
14,-0.050548766653571935,2.2856865499742907,0.0681418584054674,0.8811626207828521,3.687339735031128
15,-0.05189178075144224,2.6587641501106267,0.06524222462072998,0.9974423748254776,3.621774911880493
16,-0.07587374122887007,3.8240400528384546,0.07082797193849905,0.5836985141038895,3.493710355758667
17,-0.05647698035511285,2.8636957659441715,0.0651468014632795,0.579031455218792,3.3892949295043944
18,-0.08761945620105135,4.397914856877394,0.06910667518976335,0.5635819560289383,3.4402045440673827
19,-0.07190755229177515,3.646036288443295,0.06894730083984457,0.7446216225624085,3.412790422439575
20,-0.07093476970210062,4.119579709575731,0.05868973860185122,0.5022855672240257,3.287667531967163
