episode,average_reward,voltage_rmse,average_duty_variation,critic_loss,actor_loss
1,-5.160638554084377,42.41302761968811,0.2940704741988818,16.521281166076662,3.4523421001434325
2,-4.730008236555315,39.94973309130604,0.3030241314212181,3.107855203151703,4.227480421066284
3,-0.15838854761049834,7.159952722604714,0.06073889521621663,4.592576711177826,3.825596332550049
4,-0.1680192523221029,7.352747507209949,0.06330430102626425,3.9517434144020083,3.3998942375183105
5,-0.066197508537755,3.985672534150928,0.0571787380816986,2.2171155363321304,3.0899631500244142
6,-0.08711471367913762,4.868579252815456,0.05506084363982742,2.14335172355175,2.9301026821136475
7,-0.0843617172132811,4.7382164229897255,0.05891078383656127,1.4835579282045364,2.7803919982910155
8,-0.06264686744176776,3.5812797016414155,0.0599857941493032,1.066342340707779,2.7726826286315918
9,-0.06450889311903373,3.901865986053048,0.056938980865338926,1.088624413460493,2.756899185180664
10,-0.0737687512694919,4.375873943174098,0.056188087014263956,0.6975878769159317,2.6451849365234374
11,-0.06882211363467734,3.926150925505005,0.061268443025583826,0.539173418879509,2.682099905014038
12,-0.051793591505540804,3.0832073912998124,0.05866098947251184,1.0003405573219062,2.65563910484314
13,-0.049493984753060855,2.7575649566564477,0.06259180413765632,0.9330182823538781,2.645546054840088
14,-0.061984183021952965,3.7761892558497774,0.05673007725724517,0.8825313058495522,2.496222505569458
15,-0.0504917666448445,3.008789706928093,0.05975437455795131,0.8737950482964516,2.497162380218506
16,-0.056125149544083125,3.495896347340664,0.05497388410216989,0.7008097071945667,2.5216541862487794
17,-0.044799537579357396,2.6160502615157846,0.059759208104152084,0.45868243250995877,2.5363015651702883
18,-0.04463049797289055,2.764509084146197,0.056229983522543395,0.6209193772822619,2.4676955699920655
19,-0.054082233986236114,3.1059868318769013,0.06030153314368244,0.629556892812252,2.4455414772033692
20,-0.04525791256430713,2.4070601292980864,0.06208516513380265,0.4124134536087513,2.394143304824829
