episode,average_reward,voltage_rmse,average_duty_variation,critic_loss,actor_loss
1,-6.044302006641062,46.439823746084116,0.27674958695820356,7.100406007766724,9.527465982437134
2,-6.48101831836217,48.27384074102566,0.27545166389213865,7.448131585121155,9.21757375717163
3,-10.859783029368591,65.80886439723292,0.05158734790629353,4.847068440914154,18.47490737915039
4,-0.36260706912905083,11.23489645653671,0.07622616165786693,3.6908144009113313,15.73117275238037
5,-0.06669643219021044,3.7197622410724285,0.06265277972024479,2.543788480758667,13.655908241271973
6,-0.07029500477382133,4.033699134340953,0.05943111497082632,1.6191765815019608,12.323724136352538
7,-0.06446063103779613,3.6734428235945753,0.059144552757619054,1.7257137459516525,11.627159042358398
8,-0.09449866400708432,5.204260932775608,0.0560498361780872,1.3279570257663726,10.828218975067138
9,-0.10476455111486004,5.502806452647965,0.056928131300473146,1.0441850791871548,10.225947036743165
10,-0.04729797623983298,2.928401331222577,0.05542080204779831,0.8392058259248734,9.679328842163086
11,-0.08502232175075869,4.6648048493442245,0.0611810413487281,0.6128011028468608,9.139792499542237
12,-0.0812727097720015,4.6450312154636615,0.05705073982584074,0.635950593650341,9.151120958328248
13,-0.060700527950992046,3.549479505913916,0.058838865991964515,0.5262118351459503,8.811124525070191
14,-0.06054567006489848,3.437427812031254,0.06116731435715807,0.5526491269469261,8.603601188659669
15,-0.047747225507728454,2.929079529556696,0.057056049751192627,0.5655249819904565,8.226795358657837
16,-0.060961430082016564,3.586818304694554,0.06015838241899831,0.38576284363865854,7.8944079875946045
17,-0.04948941896548728,2.9178454265367035,0.05791782843223549,0.32464675672352317,7.792982406616211
18,-0.08656517460794547,4.704639506978338,0.06256871740224962,0.34099110327661036,7.548955173492431
19,-0.06596680914112205,3.749363709460396,0.061126902628365384,0.5408640457689762,7.459511108398438
20,-0.0701661142070478,4.390022891699364,0.05194011017720675,0.29930003318935633,7.180073194503784
