RK4 internal step (us),Scenario,RMSE (V),Overshoot (%),Final-window error (V)
50.0,load,1.828544450299457,2.410110432356589,2.572790493938747
50.0,input,3.5337006047117696,4.167403273434886,1.1803054241337876
50.0,param,1.179089229709826,2.0207061457327455,1.165448413344031
25.0,load,1.8285447040320202,2.4101104538106313,2.572791434020303
25.0,input,3.533700487573799,4.167402639207253,1.1803054129063915
25.0,param,1.1790881968895892,2.020706235398947,1.1654473665202163
10.0,load,1.828544426386659,2.410110455047416,2.572791120101721
10.0,input,3.533700527512517,4.167402643514194,1.1803051128936841
10.0,param,1.1790881968701876,2.020706240799697,1.1654473665202112
