episode,average_reward,voltage_rmse,average_duty_variation,critic_loss,actor_loss
1,-5.120194766032642,42.18020180438652,0.2836055236616117,12.964995727539062,3.734467191696167
2,-5.6391573386896505,44.33963677211717,0.2999965870751123,5.542594394683838,4.234050788879395
3,-12.065723754919047,69.36866294097196,0.04983595201025234,4.033177137374878,6.065313415527344
4,-0.35652438943604037,11.363483726802551,0.060801289887524465,3.687214050292969,5.850790977478027
5,-0.18066599680054699,7.653012725349103,0.06403003302305123,2.7934865951538086,5.397308483123779
6,-0.0752739705848282,4.064718548549562,0.0645026779543844,1.4173826217651366,4.925136499404907
7,-0.07219030748643679,3.7450835553402237,0.06817608671165315,1.5644479954242707,4.741390895843506
8,-0.058269318378957054,3.1396408690276196,0.0657953848609594,1.2487809777259826,4.38146333694458
9,-0.08513463909948081,4.612501960410233,0.06469346808202163,1.301373420059681,4.176125679016113
10,-0.05712953040831381,2.925645970563975,0.0661812068361965,0.8934915089607238,4.078119421005249
11,-0.061216983260209024,3.4429537594791406,0.0629807345080885,0.849325062930584,3.8675171375274657
12,-0.05699912396644782,3.013346521877007,0.06575838487168077,0.8276645147800445,3.604553642272949
13,-0.049127273509543185,2.9190644256209186,0.05851782954867171,0.9770800384879113,3.4848477840423584
14,-0.0495217069538477,2.7844898540857153,0.06158332852620584,0.479828380048275,3.48879189491272
15,-0.0633816389789668,3.7004752738904227,0.0609222138366478,0.5393680354952812,3.300101671218872
16,-0.05519789556387795,3.3513304889492117,0.057839035085202405,0.736960933804512,3.2012851238250732
17,-0.046717810059241346,2.512213644156341,0.06093044498955605,0.8111223956942558,3.2402477836608887
18,-0.05758366313236016,3.307877301227166,0.0617867432245792,0.3519013564288616,3.19274863243103
19,-0.04760159942629788,2.5447600843383014,0.06251065186129091,0.38760161250829694,3.122150421142578
20,-0.046925694895986546,2.9024803095875873,0.05669743521287266,0.4956040796637535,2.9885527420043947
