episode,average_reward,voltage_rmse,average_duty_variation,critic_loss,actor_loss
1,-5.120194766032642,42.18020180438652,0.2836055236616117,12.35513053894043,3.6792340755462645
2,-5.6391573386896505,44.33963677211717,0.2999965870751123,5.347495250701904,4.051873683929443
3,-12.124730674283269,69.58559193008197,0.03776734704921471,3.879057755470276,5.918647899627685
4,-0.2373887289672226,9.060570394604428,0.0592152458144196,3.42176216840744,5.653840065002441
5,-0.06268024174210807,3.581561647670693,0.06066531124799629,2.6118133175373077,5.136139640808105
6,-0.07894452733989771,4.466387842979356,0.05972114364022882,1.732264883518219,4.6134166431427
7,-0.05657461921520395,3.2285057151352836,0.0617934145805916,1.6667107141017914,4.4442938041687015
8,-0.049358111190688975,3.027471757560624,0.056188601470914236,1.2359623056650162,4.13668077468872
9,-0.05034475683243679,3.091959688939973,0.056791119086812884,1.2166656160354614,3.9502499103546143
10,-0.06565615741813259,3.887951468841609,0.05841421787550776,1.1371097534894943,3.8822922611236574
11,-0.06383869739381773,3.7139402695823414,0.060955483238747984,0.8783360731601715,3.708496856689453
12,-0.050761327542750784,2.881316828895836,0.06116614775677447,0.8258892422914506,3.461747798919678
13,-0.04901008676810385,3.007274548108016,0.056870275985553734,0.9628807413578033,3.3575213813781737
14,-0.06055431178794362,3.4651783550518336,0.06217893342275125,0.49344478696584704,3.381809043884277
15,-0.0466514095539737,2.685800028779509,0.05991250269029312,0.6004477342963219,3.210195150375366
16,-0.046543469760430244,2.7158498722939246,0.05841967957353706,0.6868609043955803,3.1349014377593996
17,-0.06354453568136494,3.5826529678876735,0.06213432971035836,0.8174985340237617,3.2176259422302245
18,-0.054446464844132424,3.1948873996868365,0.06041482979150425,0.42308386862277986,3.1762986087799074
19,-0.06294674122803645,3.6624996217432835,0.06124999395475862,0.471280781775713,3.114573640823364
20,-0.044722874511972696,2.84279934073171,0.05554179079606358,0.6029457740485669,2.9774685096740723
