algorithm,scenario,rmse_mean,overshoot_mean,fw_mean,max_iL_mean,rmse_std,overshoot_std,fw_std,max_iL_std
TD3,load,3.132598062789711,1.274636002770973,2.854275664829009,18.84421496847997,2.415140601951367,0.8939631353000512,1.8838546856786416,1.1905965250730868
DDPG,load,2.8798851556779823,1.538785513474463,2.537876259441646,18.942460020593156,2.6865722145278763,1.0097544923993975,2.1817212685915055,2.199195571838318
TD3,input,3.9881356990894408,2.958286654230863,2.527305245819519,12.999494295417561,1.7737922791128582,1.7021040154840028,2.1908232585391074,1.2749104012296475
DDPG,input,4.013011298155853,2.9223399411203275,2.3928186391722046,13.018120373218977,1.2875218146751592,1.7154056044263124,1.4802848152753556,1.54526339471878
TD3,param,2.5257098881321993,1.196136115706236,2.511899627051539,23.09812067841843,2.192400872195217,0.8193429263739681,2.202377944986661,5.170935735060213
DDPG,param,2.412137118955181,1.1941528810298887,2.368992151962981,21.188984265232513,1.4831608885460172,0.8023687235481421,1.4986472547908516,3.9154541890608576
