Method,Post-disturbance RMSE (V),Overshoot (%),Final-transition recovery (ms),Final-window error (V),Bound hit,Max iL (A)
PI,5.4456363816425055,12.516511189935187,58.99999999999994,2.123524415262647,False,16.944576001990953
PI-AW,5.4456363816425055,12.516511189935187,58.99999999999994,2.123524415262647,False,16.944576001990953
SMC,3.918978500491123,4.77112705977909,0.0,0.8306548573523352,False,15.115574629712698
DDPG,4.500867325223254,3.997928989086219,0.0,3.1379001493198526,False,13.72800134925354
TD3,3.5337006047117696,4.167403273434886,0.0,1.1803054241337876,False,14.234368737148202
