Method,Post-disturbance RMSE (V),Overshoot (%),Recovery time (ms),Final-window error (V)
PI,57.21,60.00,>2000,49.60
PI-AW,57.88,60.00,>2000,47.20
SMC,11.16,11.03,399.0,9.81
DDPG,11.02,10.05,>2000,9.87
Proposed TD3,0.77,0.38,0.0,0.77
