Method,Post-disturbance RMSE (V),Overshoot (%),Final-transition recovery (ms),Final-window error (V),Bound hit,Max iL (A)
PI,1.1726949500471302,5.686721578044384,9.000000000000002,3.318801876154982e-09,False,16.986741816267696
PI-AW,1.1726949500471302,5.686721578044384,9.000000000000002,3.318801876154982e-09,False,16.986741816267696
SMC,0.39388497587075316,5.803052421533934,3.0,1.998733680641878e-13,False,24.361479100861242
DDPG,3.1429436940916546,2.2642159180608985,0.5,3.1396704377647495,False,27.89188230976618
TD3,1.179089229709826,2.0207061457327455,0.5,1.165448413344031,False,24.828497716601962
