Method,Post-disturbance RMSE (V),Overshoot (%),Final-transition recovery (ms),Final-window error (V),Bound hit,Max iL (A)
PI,1.6251274779855294,7.459767756927064,3.5000000000000586,0.0983719743170147,False,22.870282381490703
PI-AW,1.6251274779855294,7.459767756927064,3.5000000000000586,0.0983719743170147,False,22.870282381490703
SMC,0.5669078046978695,4.812469562883777,0.0,1.9306916830030054e-13,False,24.450173736455362
DDPG,2.1571456308174577,2.5215248398698975,0.0,3.0310621302779253,False,18.418122319159135
TD3,1.828544450299457,2.410110432356589,0.0,2.572790493938747,False,19.505489982155748
