scenario,rmse_mean,rmse_std,overshoot_mean,overshoot_std,recovery_time_mean,recovery_time_std,final_window_error_mean,final_window_error_std
Load disturbance,9.296666666666667,0.41932485418030396,3.883333333333333,0.07505553499465131,0.5,0.0,5.906666666666666,0.5352880844305555
Input voltage fluctuation,4.8500000000000005,0.8126499861564018,3.6799999999999997,0.5480875842417888,0.0,0.0,1.8833333333333335,0.31005375877955954
Parameter variation,1.7566666666666666,0.29569128044860127,0.88,0.1473091986265624,0.0,0.0,1.7566666666666666,0.29569128044860127
